ID,Breed,Breed_Group,AKC_Recognized,Adaptability,Affection_Level,Apartment_Friendly,Barking_Tendency,Cat_Friendly,Child_Friendly,Dog_Friendly,Exercise_Needs,Grooming_Needs,Shedding_Level,Health_Issues,Playfulness,Social_Needs,Intelligence,Trainability,Stranger_Friendly,Territorial,Watchdog_Ability
ID,Breed,Breed_Group,AKC_Recognized,Adaptability,Affection_Level,Apartment_Friendly,Barking_Tendency,Cat_Friendly,Child_Friendly,Dog_Friendly,Exercise_Needs,Grooming_Needs,Shedding_Level,Health_Issues,Playfulness,Social_Needs,Intelligence,Trainability,Stranger_Friendly,Territorial,Watchdog_Ability
1,Affenpinscher,Toy,Yes,5,5,5,3,3,1,3,3,3,2,3,4,5,4,3,3,5,5
2,Afghan_Hound,Hound,Yes,5,3,5,1,2,3,3,4,5,3,3,3,3,3,2,2,1,1
3,Airedale_Terrier,Terrier,Yes,5,4,3,3,1,4,1,4,4,3,2,5,4,5,4,2,5,5
4,Akbash_Dog,Working,Yes,3,3,1,4,3,2,1,2,3,3,3,2,2,3,2,2,5,5
5,Akita,Working,Yes,5,5,5,1,3,3,3,4,5,5,3,3,3,4,5,2,5,5
6,Alaskan_Husky,Working,No,5,4,1,4,1,3,5,5,3,3,2,5,3,3,3,5,3,3
7,Alaskan_Malamute,Working,Yes,3,3,1,4,1,4,1,4,5,5,3,4,4,3,2,4,5,5
8,American_Bulldog,Working,Yes,4,5,2,2,2,4,3,4,1,2,2,4,4,5,5,2,5,5
9,American_Eskimo,Non-sporting,Yes,5,5,3,5,3,2,4,4,4,5,3,4,4,5,5,2,5,5
10,American_Foxhound,Hound,Yes,5,5,1,5,2,5,5,5,1,1,1,5,4,3,3,3,1,1
11,American_Pitbull_Terrier,Terrier,No,3,5,2,3,1,4,4,3,1,2,3,4,4,4,4,4,3,3
12,American_Staffordshire_Terrier,Terrier,Yes,3,5,2,3,1,4,1,3,1,2,3,4,4,4,4,4,3,3
13,American_Water_Spaniel,Sporting,Yes,5,5,5,3,3,5,2,5,3,1,3,5,5,5,5,5,5,5
14,Antolian_Shepherd_Dog,Working,Yes,2,2,1,3,2,3,1,3,3,3,4,3,2,3,2,1,5,5
15,Aussiedoodle,Mix,No,5,5,3,3,3,4,3,5,4,3,4,3,5,5,5,3,2,5
16,Austrialian_Cattle_Dog,Herding,Yes,3,3,1,4,3,5,3,5,1,3,3,5,3,5,5,2,5,5
17,Austrialian_Kelpie,Herding,Yes,5,3,2,4,3,3,3,5,2,3,2,4,3,5,5,2,5,5
18,Austrialian_Shepherd,Herding,Yes,5,4,3,5,3,5,3,5,3,3,3,5,4,5,5,2,5,5
19,Austrialian_Terrier,Terrier,Yes,5,3,3,5,1,4,1,4,1,1,4,4,4,4,4,3,5,5
20,Azawakh,Hound,Yes,2,4,5,2,1,2,3,3,1,3,3,3,3,3,3,1,5,5
233,Barbet,Sporting,Yes,3,4,3,3,3,3,3,3,5,1,3,3,3,4,4,3,3,3
21,Basador,Mix,No,5,5,3,3,3,5,5,4,2,5,3,3,4,3,3,5,2,3
22,Basenji,Hound,Yes,3,2,2,2,2,2,2,4,1,2,3,3,2,5,2,2,3,5
23,Basset_Hound,Hound,Yes,5,5,1,5,5,5,5,3,2,3,3,3,3,3,3,5,1,1
24,Beagle,Hound,Yes,5,5,2,5,3,5,5,5,1,3,3,5,5,4,2,5,1,1
25,Bearded_Collie,Herding,Yes,5,5,3,4,4,4,4,3,4,4,3,5,4,5,5,4,5,5
26,Beauceron,Herding,Yes,3,4,2,4,2,3,2,5,2,3,2,4,4,5,5,2,5,5
27,Bedlington_Terrier,Terrier,Yes,4,5,4,3,3,4,4,3,4,1,2,3,4,3,4,4,2,2
28,Belgian_Laekenois,Herding,Yes,4,3,1,4,3,4,3,5,1,2,3,4,3,5,5,2,5,5
29,Belgian_Malinois,Herding,Yes,5,4,2,5,2,3,2,5,1,4,3,5,4,5,5,2,5,5
30,Belgian_Sheepdog,Herding,Yes,5,5,1,5,5,4,3,5,3,3,3,5,3,5,5,3,5,5
31,Belgian_Tervuren,Herding,Yes,5,4,3,5,2,3,3,4,4,4,3,5,5,5,5,2,5,5
32,Bergamasco,Herding,Yes,5,5,3,3,3,5,3,3,2,1,1,3,3,3,3,2,5,5
33,Berger_Picard,Herding,Yes,4,4,2,3,3,5,3,5,2,3,5,5,3,5,4,2,4,5
34,Bernese_Mountain_Dog,Working,Yes,3,3,2,3,3,3,3,3,3,4,5,3,3,3,3,3,5,5
35,Bichon_Fraise,Non-sporting,Yes,5,5,5,3,5,3,5,2,5,1,3,3,5,3,3,5,3,3
36,Black_and_Tan_Coonhound,Hound,Yes,5,5,1,5,5,5,5,5,1,5,5,5,5,5,2,2,1,1
37,Black_Russian_Terrier,Working,Yes,3,4,3,4,3,3,3,4,4,3,3,3,3,4,4,1,5,5
38,Bloodhound,Hound,Yes,3,5,1,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1
39,Blue_Picardy_Spaniel,Sporting,No,5,5,2,3,3,5,5,5,3,3,3,5,4,4,4,3,3,4
40,Bluetick_Coonhound,Hound,Yes,5,5,1,5,3,4,5,5,1,1,1,3,3,3,3,3,1,1
41,Boerboel,Working,Yes,3,3,2,2,2,4,2,4,1,3,3,3,3,4,4,2,5,5
234,Bohemian_Shepherd,Herding,Yes,4,5,3,3,3,5,3,3,2,3,3,3,4,4,4,4,3,3
42,Bolognese,Toy,Yes,5,5,5,3,5,3,5,2,5,1,3,3,3,3,3,5,4,4
43,Border_Collie,Herding,Yes,5,5,2,5,3,5,3,5,2,3,3,5,5,5,5,3,5,5
44,Border_Terrier,Terrier,Yes,5,5,5,3,2,5,2,3,3,1,2,3,2,5,5,3,5,5
45,Borzoi,Hound,Yes,3,3,3,1,1,2,1,3,5,5,3,3,3,3,2,3,1,1
46,Boston_Terrier,Terrier,Yes,5,5,5,2,5,5,5,3,1,2,3,3,4,3,3,4,3,3
47,Bouvier_des_Flandres,Herding,Yes,5,5,1,5,3,5,3,3,5,3,3,3,3,5,5,2,5,5
48,Boxer,Working,Yes,4,5,4,2,3,3,2,5,1,3,3,4,5,4,5,3,5,5
49,Boykin_Spaniel,Sporting,Yes,5,5,5,3,3,3,3,5,4,3,3,3,3,3,4,3,3,3
50,Bracco_Italiano,Sporting,Yes,4,5,3,3,2,4,3,3,2,3,3,3,4,3,3,4,3,3
235,Braque_du_Bourbonnais,Sporting,No,3,3,4,2,2,3,4,4,1,2,3,3,3,3,4,3,3,3
